"games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","age","Ratings_2k","total_fouls","Salary_pct","year","name","full_name","primary_position","All_Nba","All_Nba_team"
0.3,0.22,0.14,0.17,0.13,0.42,0.1,0.27,0.39,0.3,0.16,0.4,0.4,0.17,0,0.04,0.21,0.45,0.0936137206766911,2020,"Pistons","Killian Hayes","PG","0","0"
0.84,0.65,0.47,0.28,0.12,0.3,0.05,0.37,0.53,0.4,0.36,0.53,0.5,0.28,0,0.12,0.41,0.32,0.0474040346504295,2020,"Pistons","Saddiq Bey","SF","0","0"
0.11,0.12,0.17,0.38,0.1,0.16,0.22,0.35,0.65,0.55,0.52,0.7,0.65,0.44,0.14,0.21,0.44,0.66,0.147045003184177,2020,"Wizards","Thomas Bryant","C","0","0"
0.48,0.1,0.06,0.1,0.08,0.11,0.06,0.07,0.43,0.17,0.05,0.45,0.55,0.1,0.1,0.08,0.18,0.32,0.0292877790205885,2020,"Wizards","Isaac Bonga","SG","0","0"
0.23,0,0.09,0.09,0.08,0.04,0,0.07,0.45,0.15,0.02,0.48,0.55,0.15,0,0.08,0.32,0.09,0.0157710927348287,2020,"Pistons","Deividas Sirvydis","SG","0","0"
0.76,0.77,0.1,0.44,0.23,0.67,0.23,0.23,0.49,0.57,0.19,0.49,0.45,0.35,0.38,0.5,0.47,0.68,0.392706072387054,2020,"Warriors","Draymond Green","PF","0","0"
0.78,0.79,0.25,0.72,0.19,0.55,0.1,0.75,0.47,0.84,0.61,0.47,0.3,0.2,0.57,0.54,0.65,0.64,0.73014797883612,2020,"Wizards","Russell Westbrook","PG","0","0"
0.68,0.09,0.55,0.18,0.11,0.23,0.06,0.32,0.58,0.36,0.28,0.58,0.65,0.32,0.19,0.38,0.35,0.52,0.264752701836033,2020,"Wizards","Davis Bertans","PF","0","0"
0.57,0.09,0.03,0.13,0.24,0.27,0.07,0.18,0.5,0.3,0.24,0.49,0.25,0.12,0,0.12,0.32,0.32,0.00903572907626913,2020,"Pistons","Saben Lee","PG","0","0"
0.59,0.06,0.39,0.29,0.17,0.25,0.08,0.38,0.52,0.43,0.28,0.52,0.45,0.27,0.43,0.46,0.38,0.43,0.105847316601296,2020,"Knicks","Alec Burks","SG","0","0"
0.85,0.87,0,0.85,0.06,0.23,0.73,0.36,0.63,0.75,0.21,0.68,0.8,0.49,0.33,0.42,0.71,0.5,0.485900991000292,2020,"Jazz","Rudy Gobert","C","1","3"
0.85,0.87,0.28,0.43,0.17,0.32,0.12,0.2,0.56,0.43,0.22,0.58,0.35,0.33,0.14,0.38,0.35,0.54,0.149987701388723,2020,"Jazz","Royce O'Neale","SF","0","0"
0.21,0,0.08,0.03,0.08,0.02,0.02,0.06,0.45,0.13,0.03,0.47,0.4,0.28,0,0.17,0.15,0.01,0.0157710927348287,2020,"Jazz","Elijah Hughes","SG","0","0"
0.82,0.01,0.57,0.25,0.11,0.36,0.04,0.57,0.51,0.47,0.41,0.52,0.35,0.17,0.29,0.42,0.44,0.34,0.202956163133635,2020,"Jazz","Jordan Clarkson","SG","0","0"
0.74,0.09,0.16,0.18,0.2,0.28,0.08,0.18,0.49,0.27,0.15,0.49,0.4,0.2,0,0.08,0.29,0.29,0.0711254305582711,2020,"Spurs","Devin Vassell","SF","0","0"
0.83,0.62,0,0.5,0.12,0.27,0.48,0.24,0.57,0.51,0.18,0.62,0.8,0.42,0.19,0.25,0.38,0.51,0.142957939019785,2020,"Spurs","Jakob Poeltl","C","0","0"
0.72,0.46,0.31,0.16,0.12,0.19,0.07,0.36,0.49,0.33,0.26,0.5,0.35,0.22,0.1,0.12,0.32,0.34,0.0510376711261305,2020,"Spurs","Lonnie Walker IV","SG","0","0"
