"year","name","full_name","primary_position","games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","All_Nba","All_Nba_team","age","Ratings_2k","total_fouls","Salary_pct","SalaryLabel"
2020,"Pelicans","Eric Bledsoe","PG",71,70,170,3.44,2.35,0.77,0.34,11.49,53.3,12.14,1.7,50.3,73,214,10,0,0,30,76,1.65,15.4617921935129,"star"
2020,"Pelicans","Didi Louzada","SG",3,0,67,1,1,0.67,0,4.33,30.8,1,0,30.8,77,210,0,0,0,21,68,1.67,0.112750595565329,"below average"
2020,"Pelicans","Kira Lewis Jr.","PG",54,0,74,1.31,3.65,0.7,0.19,6.66,47.7,6.24,1.26,44.5,73,170,0,0,0,19,72,1.63,3.33534909290819,"below average"
2020,"Pelicans","Willy Hernangomez","C",47,12,2,7.11,1.47,0.47,0.49,6.57,59.1,13.02,0.77,56.5,83,250,4,0,0,26,75,1.47,1.59166666666667,"below average"
2020,"Pelicans","Zion Williamson","PF",61,61,16,7.23,1.35,0.93,0.64,20.82,64.9,27.54,3.67,61.6,79,284,1,0,0,20,89,2.21,9.38746564046179,"average"
2020,"Pelicans","Jaxson Hayes","C",60,3,10,4.28,0.9,0.42,0.63,5.55,67.5,10.55,1.38,63.6,83,220,1,0,0,20,76,1.73,4.67762506871908,"average"
2020,"Pelicans","James Nunnally","SF",9,0,44,1,1.5,0,0,1.54,54,1.78,0.11,53.8,79,205,2,0,0,30,75,0.11,0.0986567711196628,"below average"
2020,"Pelicans","Wenyen Gabriel","PF",21,0,62,2.57,0.73,0.43,0.38,3.21,53.3,4.62,0.62,50.8,81,205,1,0,0,23,70,1.57,1.48484881803189,"below average"
2020,"Pelicans","Lonzo Ball","PG",55,55,313,4.78,2.57,1.49,0.56,13.24,55.1,17.22,2.05,53.7,78,190,3,0,0,22,82,1.87,10.08226314825,"average"
2020,"Pelicans","Nickeil Alexander-Walker","SG",46,13,165,3.13,1.48,1.02,0.48,10.59,52.2,10.22,1.65,50.2,78,205,1,0,0,22,75,1.93,2.8524463991204,"below average"
2020,"Clippers","Nicolas Batum","SF",67,38,164,4.72,2.79,1.03,0.55,6.53,61.7,12.33,1.28,59.7,80,230,12,0,0,31,77,1.52,10.6360921751878,"star"
2020,"Jazz","Jarrell Brantley","PF",28,0,43,0.96,1.88,0.25,0.07,1.89,60.5,2.86,0.14,59.6,77,250,1,0,0,24,70,0.61,0.467826644676562,"below average"
2020,"Spurs","Luka Samanic","PF",33,4,36,2.06,0.75,0.24,0.24,3.57,51.8,3.94,0.52,50.5,82,227,1,0,0,20,71,1.3,2.58779549202859,"below average"
2020,"Wizards","Cassius Winston","PG",22,0,36,0.41,2.4,0.09,0.05,1.62,57.5,1.82,0.09,54.5,73,185,0,0,0,22,69,0.36,0.411503573391974,"below average"
2020,"Wizards","Rui Hachimura","PF",57,57,79,5.47,1.21,0.77,0.12,12.61,54.9,13.88,2.46,51.3,80,230,1,0,0,22,78,2.11,4.2998350742166,"average"
2020,"Knicks","Frank Ntilikina","PG",33,4,70,0.94,1.73,0.55,0.12,2.63,51.2,2.73,0.58,51.3,76,200,3,0,0,22,75,1.36,5.65931647425325,"average"
2020,"Knicks","Julius Randle","PF",71,71,225,10.2,1.77,0.9,0.25,21.26,56.7,26.82,3.37,51.6,80,250,6,1,2,25,87,3.32,18.1830676195712,"star"
2020,"Knicks","Kevin Knox II","SF",42,0,83,1.45,1.12,0.29,0.14,3.61,53.7,3.64,0.64,51.4,79,215,2,0,0,21,72,0.88,4.2043980208906,"average"
2020,"Knicks","Nerlens Noel","C",64,41,0,6.36,0.71,1.09,2.2,3.97,63.8,12.77,0.83,61.4,83,220,6,0,0,26,78,2.78,4.58127176104087,"average"
2020,"Wizards","Bradley Beal","SG",60,60,217,4.72,1.42,1.15,0.37,26.4,59.3,26.12,4.23,53.2,75,207,8,1,3,27,89,2.45,26.3439380612058,"superstar"
2020,"Jazz","Udoka Azubuike","C",15,0,0,0.87,0,0.07,0.27,0.89,59.7,1.6,0.13,44.4,82,280,0,0,0,21,70,0.6,1.81143485431556,"below average"
2020,"Jazz","Mike Conley","PG",51,51,271,3.47,3.08,1.37,0.18,13.77,58.9,17.88,2.06,55.2,73,175,13,0,0,32,83,1.92,31.6127286054609,"superstar"
2020,"Wizards","Robin Lopez","C",71,9,7,3.83,0.73,0.21,0.62,6.83,66.1,10.69,1.13,63.9,84,281,12,0,0,32,76,1.58,6.68865677111966,"average"
2020,"Wizards","Jerome Robinson","SG",17,6,65,2.24,1.32,0.71,0.35,6.11,40,4.35,1.29,35.3,76,190,2,0,0,23,75,1.82,3.42451896646509,"below average"
2020,"Wizards","Anzejs Pasecniks","C",1,0,0,1,0.2,0,0,1,0,-4,0,0,85,229,1,0,0,24,75,2,0.342951255268462,"below average"
2020,"Wizards","Garrison Mathews","SG",64,24,119,1.36,2.6,0.45,0.11,4.36,63.5,5.34,0.97,57,77,215,1,0,0,23,75,1.66,0.630430639545538,"below average"
2020,"Wizards","Raul Neto","PG",64,22,100,2.44,2.75,1.14,0.09,7.57,57.5,9.95,1.47,53.9,73,180,5,0,0,28,75,1.75,1.72518508337915,"below average"
2020,"Wizards","Anthony Gill","PF",26,4,27,1.96,1.38,0.38,0.15,2.58,59.7,4.42,0.46,55.8,79,230,0,0,0,27,73,1.04,0.823080447132124,"below average"
2020,"Wizards","Deni Avdija","SF",54,32,98,4.85,1.91,0.59,0.28,6.14,51.5,8.94,1.26,50.2,81,210,0,0,0,19,75,2.59,4.09488730071468,"average"
2020,"Pistons","Wayne Ellington","SG",46,31,252,1.85,2.03,0.39,0.2,7.68,62.5,8.52,1.13,61.2,76,207,11,0,0,32,75,1.3,3.26622045079714,"below average"
2020,"Pistons","Jerami Grant","PF",54,54,213,4.63,1.39,0.65,1.07,20.05,55.6,18.63,3.09,49.1,80,210,6,0,0,26,82,2.33,17.4546454095657,"star"
2020,"Pistons","Sekou Doumbouya","PF",56,11,46,2.55,1.07,0.43,0.16,5.54,45.9,4.82,0.89,42.6,80,230,1,0,0,19,71,1.68,3.16052776250687,"below average"
2020,"Pistons","Frank Jackson","PG",40,6,153,2.15,1.06,0.38,0.03,8.15,59.8,8.03,1.43,56.1,75,205,2,0,0,22,74,1.35,0.640567161444017,"below average"
2020,"Pistons","Mason Plumlee","C",56,56,0,9.27,1.92,0.77,0.89,8.13,63.8,19.41,1.29,61.4,83,254,7,0,0,30,79,3.34,7.33003481766538,"average"
2020,"Pistons","Isaiah Stewart","C",68,14,31,6.66,0.88,0.57,1.26,6.61,59.7,13.18,1.24,57.8,80,250,0,0,0,19,78,2.79,2.85970313358988,"below average"
2020,"Jazz","Joe Ingles","SF",67,30,273,3.64,2.72,0.67,0.18,8.98,67.2,15.07,1.63,65.2,80,220,6,0,0,33,80,1.88,9.49572750595565,"average"
2020,"Pistons","Jahlil Okafor","C",27,2,7,2.44,0.62,0.22,0.19,4.17,64.4,6.22,0.56,62.7,82,270,5,0,0,24,74,1.48,1.72518508337915,"below average"
2020,"Pistons","Rodney McGruder","SG",16,2,69,1.38,2.29,0.5,0.06,4.6,61.9,6,0.88,60.7,76,205,4,0,0,29,73,0.75,4.75747388675096,"average"
2020,"Pistons","Killian Hayes","PG",26,18,77,2.65,1.66,1.04,0.38,8.02,42.2,7.85,0.96,40.3,77,195,0,0,0,19,71,2.19,4.86267179769104,"average"
2020,"Pistons","Saddiq Bey","SF",70,53,250,4.54,1.58,0.74,0.2,10.8,56.7,12.01,2.16,53,79,215,0,0,0,21,78,1.58,2.46465090709181,"below average"
2020,"Wizards","Thomas Bryant","C",10,10,90,6.1,1.36,0.4,0.8,10.16,70.4,18,3.1,69.8,82,248,3,0,0,23,79,3.2,7.63545262964999,"average"
2020,"Wizards","Isaac Bonga","SG",40,8,33,1.65,1.05,0.28,0.23,2.11,46.1,2.78,0.28,45.1,80,180,2,0,0,20,70,1.58,1.52451988271944,"below average"
2020,"Pistons","Deividas Sirvydis","SG",20,0,50,1.45,1,0.1,0,2.13,48.1,2.15,0.1,47.5,80,190,0,0,0,20,75,0.45,0.823080447132124,"below average"
2020,"Warriors","Draymond Green","PF",63,63,54,7.11,2.97,1.67,0.83,6.65,53,18.9,1.17,49.2,78,230,8,0,0,30,80,3.32,20.3838702583837,"superstar"
2020,"Wizards","Russell Westbrook","PG",65,65,132,11.54,2.45,1.37,0.35,21.84,50.9,29.57,3.65,47.4,75,200,12,0,0,31,86,3.14,37.8951933296683,"superstar"
2020,"Wizards","Davis Bertans","PF",57,7,296,2.95,1.48,0.58,0.23,9.27,62,10.26,1.7,58.1,82,225,4,0,0,27,76,2.55,13.7438152831226,"star"
2020,"Pistons","Saben Lee","PG",48,7,17,2.02,3.16,0.67,0.27,5.19,53.6,8.1,1.42,49,74,183,0,0,0,21,75,1.58,0.473553234377863,"below average"
2020,"Knicks","Alec Burks","SG",49,5,208,4.63,2.18,0.63,0.29,11.26,56.4,13.18,1.71,52.2,78,214,9,0,0,29,77,2.08,5.49752611324904,"average"
2020,"Jazz","Rudy Gobert","C",71,71,0,13.52,0.75,0.56,2.68,10.47,68.3,26.01,1.28,67.5,85,258,7,1,3,28,88,2.43,25.2201585120029,"superstar"
2020,"Jazz","Royce O'Neale","SF",71,71,151,6.83,2.18,0.8,0.45,5.83,59.9,13.27,1.3,58,76,226,3,0,0,27,76,2.63,7.78816199376947,"average"
2020,"Jazz","Elijah Hughes","SG",18,0,44,0.5,1,0.06,0.06,1.76,48.8,1.17,0.17,46.7,77,215,0,0,0,22,69,0.06,0.823080447132124,"below average"
2020,"Jazz","Jordan Clarkson","SG",68,1,306,4.03,1.46,0.9,0.15,16.74,54.9,14.94,2.44,52.2,76,194,6,0,0,28,79,1.66,10.536925050394,"star"
2020,"Spurs","Devin Vassell","SF",62,7,84,2.81,2.55,0.69,0.29,5.25,52.4,6.81,0.92,49.2,77,200,0,0,0,20,74,1.42,3.69565695437053,"below average"
2020,"Spurs","Jakob Poeltl","C",69,51,0,7.93,1.61,0.68,1.78,7.02,61.2,16.45,1.09,61.6,85,245,4,0,0,24,77,2.5,7.42335715594649,"average"
